,hlower,hmode,hupper,session,subject,vlower,vmode,vupper
0,0.00835219086286565,0.02771207813072501,0.06127351021776861,ses-1,sub-1,1.0000375471858514,1.0000375471858514,1.6480826481278898
1,0.0059168806007448005,0.018201309704545986,0.03900838636688729,ses-2,sub-1,1.0000733428586366,1.0000733428586366,1.6369072705676608
2,0.000910044140160382,0.007208376938578841,0.022555173887985117,ses-3,sub-1,1.005033538424583,1.377303488252728,2.3657257691654445
3,0.0014767551759301554,0.0052171207590080634,0.017963944296333745,ses-1,sub-2,1.0002799985845725,1.3421770008741938,1.9690488570752605
4,0.004223965670844154,0.015082955258479469,0.034053398675733086,ses-2,sub-2,1.0000788932446405,1.0220152937440896,1.710843024113155
5,0.0005556071209580349,0.003588643839149071,0.013890834629188498,ses-3,sub-2,1.000503366209965,1.2784024581461064,1.9645607170332269
6,9.526460829345496e-05,0.0005725297657887473,0.003069074314821285,ses-1,sub-3,2.0919232052601986,2.667867058855423,3.8532446699416663
7,8.900793668775718e-07,8.900793668775718e-07,0.0013206038114106367,ses-2,sub-3,2.3080113873502137,3.1082157905109113,4.952236915622071
8,4.1742323060312e-06,2.648322720122387e-06,0.0039100529599083176,ses-3,sub-3,1.8438558120091888,2.749869885901256,4.269642778899276
9,2.2923372855476748e-07,2.2923372855476748e-07,0.0002580034194922254,ses-1,sub-4,2.850955096640168,3.777544265349194,5.339487905961278
10,5.346316700460818e-08,5.346316700460818e-08,9.595709398790843e-05,ses-2,sub-4,2.5848351167444332,3.4257817132662485,5.44242971680371
11,4.3694652251957683e-07,4.3694652251957683e-07,0.00021141402172109022,ses-3,sub-4,2.100171603348997,3.0001164317457905,4.326917855192237
12,0.00038198057340632635,0.0026155643465279477,0.01020277054321195,ses-1,sub-5,1.1223790263542832,1.5921333469828347,2.3777591521897428
13,0.004857175791946443,0.01924980388584604,0.04267404316726065,ses-2,sub-5,1.0001531216971284,1.3287297182959397,2.1053631949159355
14,0.009744549705038907,0.022623112741531906,0.04414119685952656,ses-3,sub-5,1.0000084641379938,1.0089087519479303,1.2945150468754791
15,0.0010994068850218586,0.0036620594675152098,0.011208196594476028,ses-1,sub-6,1.04315168234771,1.3721173427502071,1.92066861944446
16,9.211310657564196e-06,9.211310657564196e-06,0.9194973842697364,ses-2,sub-6,1.9198247477599693,5.517692210165045,91.19981653299656
17,0.0010409889634048763,0.005590464895385118,0.023371471498320973,ses-3,sub-6,1.0004654712130243,1.473340565835951,2.3954467829782216
18,0.009624913555541624,0.019604272440473428,0.03236467562500345,ses-1,sub-7,1.0000150651672364,1.0000150651672364,1.2338539854328354
19,0.0010829179414453274,0.006544998914470958,0.01877971409862189,ses-2,sub-7,1.000359622091448,1.362791346590367,2.1340437377344808
20,0.0014878130001061418,0.005475564160005026,0.015724465065680038,ses-3,sub-7,1.00001385135745,1.0494145829493224,1.6882803177857637
21,0.012458868600907945,0.025027004112352803,0.04158690741128168,ses-1,sub-8,1.0000124134828123,1.0000124134828123,1.2653116856884579
22,0.014131165533100563,0.030539237124088084,0.06426689861342172,ses-2,sub-8,1.0000156487662886,1.0000156487662886,1.3983467578794386
23,0.010082125159627696,0.03566489382675337,0.08247980734522142,ses-3,sub-8,1.0001289497553572,1.0001289497553572,1.881858428471605
24,0.0019288107402992691,0.007887367603889799,0.03207615823788579,ses-1,sub-9,1.380523532452452,2.103154648224302,2.998370216845048
25,4.904155413909539e-05,0.0023914289300185133,0.013029381301368659,ses-2,sub-9,1.3356210727831344,2.0407908171109876,3.469618249300858
26,1.2691179323010005e-06,1.2691179323010005e-06,0.003055583187139166,ses-3,sub-9,2.400140644019801,3.3778575960382216,5.9616063249188365
27,0.003202610166601394,0.008122169989398477,0.017768191957702517,ses-1,sub-10,1.0000002123752505,1.0000002123752505,1.2901718736163856
28,0.002832855397580269,0.009023554314814457,0.028477296010504968,ses-2,sub-10,1.0001403465155612,1.0000529555443003,1.5621738471177995
29,0.004050392556608107,0.017801212099960405,0.0421677789591971,ses-3,sub-10,1.0002980067050116,1.1760309502488402,1.8439478345992373
30,0.000465638562071713,0.002336967008001123,0.00898452378040282,ses-1,sub-11,1.135497032413283,1.6477464039409009,2.289566420266342
31,0.00277375709630634,0.008079655504805975,0.0161521569400378,ses-1,sub-12,1.0000685454323075,1.0000685454323075,1.3818474380761407
32,0.0035537856924415796,0.00875083034677929,0.022845494112600062,ses-2,sub-12,1.0000173533247418,1.0000173533247418,1.3571834061232462
33,0.012694809830552822,0.025370450835594756,0.051872029094014005,ses-3,sub-12,1.000022985417936,1.000022985417936,1.2902305873584548
34,0.0005741157140787267,0.0027677594960766076,0.009538227615011774,ses-1,sub-13,1.4963518210068538,1.983058825403911,2.911542245421065
35,0.002554186341862219,0.008152232324677369,0.0188999511970509,ses-2,sub-13,1.0000334627765088,1.0000334627765088,1.4049029744108683
36,0.0033297103772825802,0.009186545652921737,0.024942259801899458,ses-3,sub-13,1.0000588271110946,1.0153090632116197,1.4487343075892198
37,0.005130243542727064,0.016678762287318565,0.04028804360509064,ses-1,sub-14,1.0005283020230396,1.3616079090210507,1.892450326323437
38,0.0008101542198658551,0.004651458048610653,0.032157465344070824,ses-2,sub-14,1.1649559433090526,1.7694206465136502,2.9099261770092006
39,0.0015304734722877411,0.01241159068093808,0.07666054159322055,ses-3,sub-14,1.068079696044646,1.9335780379738998,3.648632057789297
40,0.003932799578296398,0.01586881274651562,0.04264397857525415,ses-1,sub-15,1.021043496191524,1.3850678317939653,2.1524631135310246
41,0.002487148014944651,0.022314879462663795,0.058754861577908775,ses-2,sub-15,1.000037317594601,1.000037317594601,1.84180768526512
42,0.026956137312838968,0.06421408358441436,0.14129869699607325,ses-3,sub-15,1.0000048324111657,1.0000048324111657,1.3731010111149036
43,8.967232862366892e-05,0.0004953940855131345,0.003542491810674897,ses-1,sub-16,1.7940324797976164,2.357917163650109,3.3871584718292813
44,0.00028042403454109355,0.002292036053351847,0.009646298341223436,ses-2,sub-16,1.2275213181374118,2.00541423688381,2.9171475614750437
45,1.5161643137528989e-05,0.0004606730661852987,0.007904108869498772,ses-3,sub-16,1.3678190163926456,2.01556728264167,3.324439212045749
46,0.000905932327588066,0.0036969503654151006,0.008510953432274149,ses-1,sub-17,1.0000143483484978,1.068053112281987,1.5682130187529149
47,0.00010550414293630793,0.0024110355887796897,0.02515783080289791,ses-2,sub-17,1.0396899017600103,1.5217233951918843,2.7832050697036803
48,0.0007355047495510857,0.002848214493071125,0.008280632997228587,ses-3,sub-17,1.0002449213287683,1.0418702052769155,1.677375986354842
49,4.188400071269971e-05,0.0003930930129266574,0.002308869575535333,ses-1,sub-18,2.003539155260781,2.778405414168045,3.796730062725351
50,2.604568521413775e-06,2.604568521413775e-06,0.006765522563718651,ses-2,sub-18,2.451511188962531,3.915387491547568,6.981514563606825
51,0.00013839314979846584,0.0009147869145941567,0.013269244639689927,ses-3,sub-18,1.5987079122756709,2.403349656436413,4.078144222624114
52,0.01155744932897751,0.02344528797922503,0.04052105584602805,ses-1,sub-19,1.0000005890095398,1.009622228188974,1.3319916646974226
53,0.012580225431177428,0.03194903501856073,0.06647728769730421,ses-2,sub-19,1.0000304669746938,1.0000039661234712,1.3158390139115017
54,0.008386665828211903,0.02255852770661435,0.046885139856443936,ses-3,sub-19,1.000007625795503,1.000007625795503,1.3245936150250204
55,5.567329477429439e-07,5.567329477429439e-07,0.0009425856029614543,ses-1,sub-20,2.627273162302649,3.57742229296485,5.247925032271831
56,4.35250614616578e-06,4.35250614616578e-06,0.9413392389754796,ses-2,sub-20,1.1032578756101037,2.9761162580787053,85.39267956081255
57,1.1232795052329436e-05,1.1232795052329436e-05,0.9419834426173334,ses-3,sub-20,1.2568594649633291,6.836455837305035,96.99937467480801
58,4.586886697699466e-05,0.001959100748523496,0.010238741250106155,ses-1,sub-21,1.6967534254755967,2.364662824085732,3.7672034428147296
59,0.0009578685516106188,0.011873359003244115,0.047566544533007786,ses-2,sub-21,1.0875852991245694,1.8300049283065967,3.1109524584079504
60,0.0016976296789629195,0.007337398970562341,0.02755126501243943,ses-3,sub-21,1.0009644563616908,1.4678072664520685,2.056807607340112
61,8.221729581481263e-06,0.0017438085565359795,0.029386375142935295,ses-1,sub-22,1.7880755783410804,2.9789323396120704,4.941772594897988
62,0.0002865364405114645,0.0018387229757713685,0.012994931362022009,ses-2,sub-22,1.2365496835117185,1.7462329004270254,2.801594955000779
63,9.843295096545468e-05,0.0022484472326555114,0.01877715904799204,ses-3,sub-22,1.307587335159314,2.360598306371351,3.5515006241623683
